,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
20 to 24 years,"317,739","±6,065",6.5%,±0.1,"47,636","±2,884",6.5%,±0.4,"490,999","±3,599",6.7%,±0.1,"197,910","±4,706",6.6%,±0.2,"2,638,791","±6,800",6.7%,±0.1,"380,338","±4,497",6.6%,±0.1,"239,939","±2,247",6.7%,±0.1,"57,365","±1,728",5.9%,±0.2,"50,211","±1,985",7.1%,±0.3,"1,266,383","±8,468",5.9%,±0.1,"714,400","±9,108",6.7%,±0.1,"89,100","±1,626",6.3%,±0.1,"120,062","±3,690",6.7%,±0.2,"829,093","±6,079",6.5%,±0.1,"467,839","±5,640",6.9%,±0.1,"217,206","±4,532",6.9%,±0.1,"212,867","±4,412",7.3%,±0.2,"294,084","±5,349",6.6%,±0.1,"298,660","±6,800",6.4%,±0.1,"74,294","±1,884",5.5%,±0.1,"372,016","±4,110",6.2%,±0.1,"484,340","±3,597",7.0%,±0.1,"674,774","±5,953",6.8%,±0.1,"345,374","±4,309",6.1%,±0.1,"200,789","±6,741",6.7%,±0.2,"394,992","±4,919",6.4%,±0.1,"68,359","±2,753",6.4%,±0.3,"132,718","±2,349",6.9%,±0.1,"182,851","±2,315",5.9%,±0.1,"84,664","±1,879",6.2%,±0.1,"536,034","±3,881",6.0%,±0.1,"137,719","±3,834",6.6%,±0.2,"1,265,348","±5,735",6.5%,±0.1,"689,128","±8,457",6.6%,±0.1,"60,819","±2,410",8.0%,±0.3,"743,776","±6,256",6.4%,±0.1,"270,073","±3,713",6.8%,±0.1,"266,146","±3,917",6.3%,±0.1,"796,554","±5,379",6.2%,±0.1,"74,167","±2,282",7.0%,±0.2,"321,418","±6,764",6.2%,±0.1,"57,688","±2,512",6.5%,±0.3,"443,667","±5,766",6.5%,±0.1,"1,984,048","±9,822",6.8%,±0.1,"267,379","±3,156",8.3%,±0.1,"43,123","±1,593",6.9%,±0.3,"559,301","±8,259",6.6%,±0.1,"475,822","±5,004",6.2%,±0.1,"106,336","±3,634",5.9%,±0.2,"386,575","±3,257",6.6%,±0.1,"37,766","±2,253",6.5%,±0.4,"224,534","±4,177",7.0%,±0.1
25 to 34 years,"637,403","±7,106",13.0%,±0.1,"117,978","±3,084",16.1%,±0.4,"1,001,594","±4,228",13.8%,±0.1,"386,602","±6,031",12.8%,±0.2,"6,036,052","±7,739",15.3%,±0.1,"907,627","±4,768",15.8%,±0.1,"444,509","±2,558",12.5%,±0.1,"128,412","±1,158",13.2%,±0.1,"164,375",±372,23.3%,±0.1,"2,768,060","±10,450",12.9%,±0.1,"1,458,596","±12,386",13.7%,±0.1,"195,781","±1,657",13.8%,±0.1,"234,800","±3,300",13.1%,±0.2,"1,748,323","±6,176",13.8%,±0.1,"886,319","±6,256",13.2%,±0.1,"400,299","±4,255",12.7%,±0.1,"377,373","±3,903",13.0%,±0.1,"576,692","±5,286",12.9%,±0.1,"643,422","±7,391",13.8%,±0.2,"164,231","±2,124",12.2%,±0.2,"820,575","±4,300",13.6%,±0.1,"992,607","±3,762",14.4%,±0.1,"1,302,017","±5,789",13.0%,±0.1,"765,578","±4,287",13.6%,±0.1,"368,227","±8,972",12.4%,±0.3,"823,722","±5,510",13.4%,±0.1,"133,119","±2,830",12.5%,±0.3,"257,931","±3,406",13.3%,±0.2,"449,055","±3,549",14.6%,±0.1,"170,730","±2,220",12.6%,±0.2,"1,148,458","±3,691",12.9%,±0.1,"278,627","±4,322",13.3%,±0.2,"2,865,401","±7,090",14.7%,±0.1,"1,401,663","±10,426",13.4%,±0.1,"117,574","±3,088",15.4%,±0.4,"1,544,717","±6,569",13.2%,±0.1,"536,999","±4,108",13.6%,±0.1,"594,585","±4,627",14.1%,±0.1,"1,704,848","±5,231",13.3%,±0.1,"148,180","±1,973",14.0%,±0.2,"670,757","±7,254",13.0%,±0.1,"114,420","±2,508",12.9%,±0.3,"934,878","±6,983",13.7%,±0.1,"4,242,661","±12,557",14.6%,±0.1,"472,153","±3,750",14.7%,±0.1,"76,649","±1,338",12.3%,±0.2,"1,174,655","±7,525",13.8%,±0.1,"1,164,010","±5,327",15.3%,±0.1,"211,267","±4,051",11.8%,±0.2,"737,315","±4,042",12.7%,±0.1,"76,649","±2,421",13.2%,±0.4,"385,530","±4,289",12.1%,±0.1
35 to 44 years,"605,739","±5,786",12.4%,±0.1,"93,035","±2,246",12.7%,±0.3,"898,533","±3,775",12.3%,±0.1,"377,184","±5,921",12.5%,±0.2,"5,298,911","±6,300",13.4%,±0.1,"805,306","±4,725",14.0%,±0.1,"426,967","±2,325",12.0%,±0.1,"113,704","±1,289",11.7%,±0.1,"108,905",±417,15.4%,±0.1,"2,612,250","±9,864",12.2%,±0.1,"1,401,934","±10,196",13.2%,±0.1,"185,133","±1,808",13.1%,±0.1,"225,804","±3,305",12.6%,±0.2,"1,641,179","±5,194",13.0%,±0.1,"825,768","±4,862",12.3%,±0.1,"392,097","±3,562",12.4%,±0.1,"362,905","±3,313",12.5%,±0.1,"556,896","±4,552",12.5%,±0.1,"606,785","±7,707",13.1%,±0.2,"153,615","±1,323",11.4%,±0.1,"786,924","±4,379",13.0%,±0.1,"849,654","±3,523",12.3%,±0.1,"1,174,029","±4,087",11.8%,±0.1,"730,399","±4,140",13.0%,±0.1,"379,610","±7,288",12.8%,±0.2,"756,709","±4,125",12.3%,±0.1,"132,472","±2,017",12.4%,±0.2,"243,052","±2,747",12.6%,±0.1,"410,321","±2,735",13.3%,±0.1,"158,985","±2,568",11.7%,±0.2,"1,144,104","±3,395",12.9%,±0.1,"261,847","±4,320",12.5%,±0.2,"2,430,106","±5,115",12.5%,±0.1,"1,312,661","±7,835",12.5%,±0.1,"96,037","±2,241",12.6%,±0.3,"1,404,148","±5,774",12.0%,±0.1,"501,516","±3,879",12.7%,±0.1,"578,846","±5,136",13.7%,±0.1,"1,520,179","±4,722",11.9%,±0.1,"124,433","±1,626",11.7%,±0.2,"628,604","±6,423",12.2%,±0.1,"106,071","±2,330",12.0%,±0.3,"849,159","±4,830",12.4%,±0.1,"3,959,419","±12,322",13.7%,±0.1,"443,692","±2,675",13.8%,±0.1,"70,815",±968,11.3%,±0.2,"1,128,152","±6,023",13.2%,±0.1,"1,032,245","±5,208",13.6%,±0.1,"219,899","±2,842",12.3%,±0.2,"714,436","±3,844",12.3%,±0.1,"73,671","±1,981",12.7%,±0.3,"395,192","±3,575",12.4%,±0.1
45 to 54 years,"609,391","±5,237",12.4%,±0.1,"87,687","±2,615",12.0%,±0.4,"853,081","±3,178",11.7%,±0.1,"362,384","±5,272",12.0%,±0.2,"4,974,817","±5,071",12.6%,±0.1,"704,792","±3,767",12.2%,±0.1,"480,565","±2,282",13.5%,±0.1,"118,670","±1,317",12.2%,±0.1,"74,493",±423,10.6%,±0.1,"2,708,234","±7,661",12.6%,±0.1,"1,397,014","±9,743",13.2%,±0.1,"168,179","±1,565",11.9%,±0.1,"202,347","±2,981",11.3%,±0.2,"1,602,369","±5,026",12.6%,±0.1,"827,420","±5,449",12.3%,±0.1,"358,447","±3,267",11.4%,±0.1,"327,291","±3,215",11.2%,±0.1,"562,400","±3,906",12.6%,±0.1,"544,724","±6,268",11.7%,±0.1,"176,429","±1,632",13.1%,±0.1,"795,954","±3,489",13.2%,±0.1,"894,405","±3,025",13.0%,±0.1,"1,252,699","±4,349",12.5%,±0.1,"672,810","±2,646",11.9%,±0.1,"361,557","±7,786",12.1%,±0.3,"730,645","±3,414",11.9%,±0.1,"117,178","±2,014",11.0%,±0.2,"216,099","±3,137",11.2%,±0.2,"396,104","±2,444",12.9%,±0.1,"182,129","±1,637",13.4%,±0.1,"1,199,976","±3,228",13.5%,±0.1,"235,075","±3,383",11.2%,±0.2,"2,471,667","±4,383",12.7%,±0.1,"1,363,200","±7,084",13.0%,±0.1,"76,528","±1,883",10.0%,±0.2,"1,451,339","±5,347",12.4%,±0.1,"452,720","±2,809",11.4%,±0.1,"511,021","±5,015",12.1%,±0.1,"1,605,639","±5,355",12.5%,±0.1,"135,828","±1,565",12.8%,±0.1,"635,042","±5,799",12.3%,±0.1,"96,689","±2,051",10.9%,±0.2,"872,195","±3,935",12.8%,±0.1,"3,556,845","±10,636",12.3%,±0.1,"329,369","±2,849",10.3%,±0.1,"78,203",±990,12.5%,±0.2,"1,095,894","±6,486",12.8%,±0.1,"925,768","±4,749",12.2%,±0.1,"226,692","±2,089",12.6%,±0.1,"719,293","±4,401",12.4%,±0.1,"63,810","±1,778",11.0%,±0.3,"412,923","±1,615",12.9%,±0.1
55 to 59 years,"321,296","±6,731",6.6%,±0.1,"48,858","±2,878",6.7%,±0.4,"445,006","±8,266",6.1%,±0.1,"192,477","±6,156",6.4%,±0.2,"2,461,936","±19,418",6.2%,±0.1,"357,955","±7,516",6.2%,±0.1,"258,972","±6,913",7.3%,±0.2,"66,092","±3,432",6.8%,±0.4,"37,365","±2,601",5.3%,±0.4,"1,475,419","±15,492",6.9%,±0.1,"685,356","±12,102",6.5%,±0.1,"87,409","±3,557",6.2%,±0.3,"104,642","±4,530",5.9%,±0.3,"840,754","±11,009",6.6%,±0.1,"446,115","±8,318",6.6%,±0.1,"210,384","±5,017",6.7%,±0.2,"181,715","±5,544",6.2%,±0.2,"295,568","±5,933",6.6%,±0.1,"295,758","±8,283",6.4%,±0.2,"102,302","±3,904",7.6%,±0.3,"413,230","±7,487",6.8%,±0.1,"483,588","±9,195",7.0%,±0.1,"701,709","±11,026",7.0%,±0.1,"386,481","±6,763",6.9%,±0.1,"192,721","±6,270",6.5%,±0.2,"420,294","±8,485",6.8%,±0.1,"72,614","±2,995",6.8%,±0.3,"119,981","±4,346",6.2%,±0.2,"197,914","±5,698",6.4%,±0.2,"110,803","±4,491",8.1%,±0.3,"620,252","±8,539",7.0%,±0.1,"132,366","±4,303",6.3%,±0.2,"1,319,671","±14,793",6.8%,±0.1,"700,481","±10,956",6.7%,±0.1,"47,196","±2,342",6.2%,±0.3,"793,376","±10,972",6.8%,±0.1,"249,998","±4,536",6.3%,±0.1,"259,855","±6,830",6.2%,±0.2,"895,407","±11,248",7.0%,±0.1,"73,453","±3,667",6.9%,±0.3,"352,888","±7,614",6.9%,±0.1,"58,677","±3,013",6.6%,±0.3,"460,144","±8,719",6.7%,±0.1,"1,689,099","±16,543",5.8%,±0.1,"147,856","±5,549",4.6%,±0.2,"44,207","±2,444",7.1%,±0.4,"571,897","±9,039",6.7%,±0.1,"478,059","±8,272",6.3%,±0.1,"121,475","±5,141",6.8%,±0.3,"415,388","±6,477",7.1%,±0.1,"37,601","±2,501",6.5%,±0.4,"215,519","±5,728",6.7%,±0.2
60 to 64 years,"331,917","±6,651",6.8%,±0.1,"45,912","±2,435",6.3%,±0.3,"439,085","±8,257",6.0%,±0.1,"193,572","±6,187",6.4%,±0.2,"2,331,158","±19,848",5.9%,±0.1,"353,885","±7,234",6.1%,±0.1,"256,375","±6,897",7.2%,±0.2,"70,795","±3,456",7.3%,±0.4,"32,470","±2,483",4.6%,±0.4,"1,422,341","±16,243",6.6%,±0.1,"614,130","±11,884",5.8%,±0.1,"90,696","±3,607",6.4%,±0.3,"114,787","±4,392",6.4%,±0.2,"816,708","±11,005",6.4%,±0.1,"431,921","±8,585",6.4%,±0.1,"208,202","±4,775",6.6%,±0.2,"190,801","±5,543",6.5%,±0.2,"302,327","±6,817",6.8%,±0.2,"307,318","±7,884",6.6%,±0.2,"108,597","±3,857",8.1%,±0.3,"407,288","±8,053",6.7%,±0.1,"458,029","±9,390",6.6%,±0.1,"697,764","±11,111",7.0%,±0.1,"370,453","±6,554",6.6%,±0.1,"190,745","±6,096",6.4%,±0.2,"416,849","±9,125",6.8%,±0.1,"78,658","±2,723",7.4%,±0.3,"122,412","±4,065",6.3%,±0.2,"184,853","±5,507",6.0%,±0.2,"103,956","±4,383",7.6%,±0.3,"603,364","±8,547",6.8%,±0.1,"140,343","±4,528",6.7%,±0.2,"1,281,921","±14,546",6.6%,±0.1,"658,137","±11,222",6.3%,±0.1,"46,863","±2,335",6.1%,±0.3,"812,677","±10,457",7.0%,±0.1,"242,789","±4,294",6.1%,±0.1,"276,315","±6,965",6.6%,±0.2,"913,745","±11,002",7.1%,±0.1,"77,903","±3,677",7.4%,±0.3,"340,375","±7,768",6.6%,±0.2,"58,373","±2,901",6.6%,±0.3,"438,621","±8,401",6.4%,±0.1,"1,585,799","±17,842",5.5%,±0.1,"153,324","±5,228",4.8%,±0.2,"50,483","±2,354",8.1%,±0.4,"543,823","±9,341",6.4%,±0.1,"482,557","±8,268",6.3%,±0.1,"134,353","±4,913",7.5%,±0.3,"408,957","±7,103",7.0%,±0.1,"39,327","±2,485",6.8%,±0.4,"212,906","±5,728",6.7%,±0.2
65 to 74 years,"505,557","±4,115",10.3%,±0.1,"61,658","±2,041",8.4%,±0.3,"751,831","±2,157",10.3%,±0.1,"303,422","±2,519",10.1%,±0.1,"3,391,856","±4,201",8.6%,±0.1,"524,969","±3,063",9.1%,±0.1,"352,559","±1,529",9.9%,±0.1,"112,847",±964,11.6%,±0.1,"50,587",±778,7.2%,±0.1,"2,463,083","±5,547",11.5%,±0.1,"933,722","±5,347",8.8%,±0.1,"153,238","±1,008",10.8%,±0.1,"174,120","±1,693",9.7%,±0.1,"1,182,015","±3,458",9.3%,±0.1,"637,375","±2,925",9.5%,±0.1,"311,643","±2,021",9.9%,±0.1,"274,666","±2,598",9.4%,±0.1,"454,932","±3,267",10.2%,±0.1,"446,721","±3,354",9.6%,±0.1,"169,556",±945,12.6%,±0.1,"564,533","±2,353",9.3%,±0.1,"676,157","±2,729",9.8%,±0.1,"1,041,813","±2,730",10.4%,±0.1,"533,366","±1,978",9.5%,±0.1,"289,064","±3,490",9.7%,±0.1,"609,250","±2,422",9.9%,±0.1,"126,488","±1,331",11.8%,±0.1,"179,065","±1,532",9.3%,±0.1,"305,843","±1,596",9.9%,±0.1,"152,050","±1,213",11.2%,±0.1,"837,002","±2,667",9.4%,±0.1,"224,011","±2,463",10.7%,±0.1,"1,863,892","±3,132",9.6%,±0.1,"1,047,490","±4,745",10.0%,±0.1,"67,281","±1,069",8.8%,±0.1,"1,187,641","±2,898",10.2%,±0.1,"368,463","±2,123",9.3%,±0.1,"467,259","±2,874",11.1%,±0.1,"1,353,195","±2,670",10.6%,±0.1,"107,381","±1,030",10.1%,±0.1,"571,319","±3,306",11.1%,±0.1,"90,443",±952,10.2%,±0.1,"680,190","±3,769",10.0%,±0.1,"2,259,341","±7,279",7.8%,±0.1,"219,213","±1,883",6.8%,±0.1,"75,354",±865,12.1%,±0.1,"809,641","±4,662",9.5%,±0.1,"736,308","±3,048",9.7%,±0.1,"217,526","±1,566",12.1%,±0.1,"597,951","±2,451",10.3%,±0.1,"60,674","±1,214",10.5%,±0.2,"366,492",*****,11.5%,*****
75 to 84 years,"264,071","±4,759",5.4%,±0.1,"22,265","±1,175",3.0%,±0.2,"424,605","±5,560",5.8%,±0.1,"162,243","±3,642",5.4%,±0.1,"1,725,842","±12,755",4.4%,±0.1,"231,835","±4,526",4.0%,±0.1,"187,950","±3,864",5.3%,±0.1,"57,991","±1,762",6.0%,±0.2,"25,639","±1,728",3.6%,±0.2,"1,474,050","±11,913",6.9%,±0.1,"444,890","±7,266",4.2%,±0.1,"78,564","±2,427",5.5%,±0.2,"86,347","±2,595",4.8%,±0.1,"609,326","±8,115",4.8%,±0.1,"319,196","±5,167",4.7%,±0.1,"165,190","±4,037",5.2%,±0.1,"140,129","±3,693",4.8%,±0.1,"222,988","±3,923",5.0%,±0.1,"220,113","±4,948",4.7%,±0.1,"81,769","±2,513",6.1%,±0.2,"281,807","±4,417",4.7%,±0.1,"336,202","±5,692",4.9%,±0.1,"510,903","±5,957",5.1%,±0.1,"276,534","±4,075",4.9%,±0.1,"143,319","±4,003",4.8%,±0.1,"327,032","±5,194",5.3%,±0.1,"60,461","±2,271",5.7%,±0.2,"91,842","±2,627",4.7%,±0.1,"149,584","±3,433",4.9%,±0.1,"72,230","±2,652",5.3%,±0.2,"444,063","±6,159",5.0%,±0.1,"113,221","±3,199",5.4%,±0.2,"992,444","±9,829",5.1%,±0.1,"519,151","±7,558",4.9%,±0.1,"34,821","±1,739",4.6%,±0.2,"612,935","±6,922",5.2%,±0.1,"192,486","±3,469",4.9%,±0.1,"214,550","±4,642",5.1%,±0.1,"710,194","±8,156",5.5%,±0.1,"53,019","±2,433",5.0%,±0.2,"277,347","±4,783",5.4%,±0.1,"44,057","±1,594",5.0%,±0.2,"341,410","±5,841",5.0%,±0.1,"1,081,125","±11,333",3.7%,±0.1,"109,412","±2,944",3.4%,±0.1,"35,553","±1,560",5.7%,±0.2,"396,708","±5,957",4.6%,±0.1,"340,740","±5,030",4.5%,±0.1,"107,764","±3,015",6.0%,±0.2,"295,832","±4,622",5.1%,±0.1,"28,489","±1,466",4.9%,±0.3,"226,345","±4,150",7.1%,±0.1
85 years and over,"84,684","±3,879",1.7%,±0.1,"6,665","±1,002",0.9%,±0.1,"130,805","±5,712",1.8%,±0.1,"58,572","±3,273",1.9%,±0.1,"717,300","±12,335",1.8%,±0.1,"88,574","±3,898",1.5%,±0.1,"88,523","±3,938",2.5%,±0.1,"18,800","±1,652",1.9%,±0.2,"11,311","±1,538",1.6%,±0.2,"561,065","±12,106",2.6%,±0.1,"144,580","±6,235",1.4%,±0.1,"37,668","±2,514",2.7%,±0.2,"28,150","±2,404",1.6%,±0.1,"254,020","±7,574",2.0%,±0.1,"127,901","±5,092",1.9%,±0.1,"76,742","±3,710",2.4%,±0.1,"63,201","±3,188",2.2%,±0.1,"76,639","±3,690",1.7%,±0.1,"75,360","±4,488",1.6%,±0.1,"34,653","±2,410",2.6%,±0.2,"113,547","±4,132",1.9%,±0.1,"159,934","±5,718",2.3%,±0.1,"213,693","±6,126",2.1%,±0.1,"111,591","±3,707",2.0%,±0.1,"54,421","±3,750",1.8%,±0.1,"121,661","±4,982",2.0%,±0.1,"20,960","±2,067",2.0%,±0.2,"41,388","±2,299",2.1%,±0.1,"42,792","±3,283",1.4%,±0.1,"28,867","±2,437",2.1%,±0.2,"194,010","±5,952",2.2%,±0.1,"40,498","±2,827",1.9%,±0.1,"439,632","±9,127",2.3%,±0.1,"184,294","±6,960",1.8%,±0.1,"18,075","±1,656",2.4%,±0.2,"242,972","±6,750",2.1%,±0.1,"74,273","±3,018",1.9%,±0.1,"85,687","±4,370",2.0%,±0.1,"324,829","±7,941",2.5%,±0.1,"26,755","±2,276",2.5%,±0.2,"86,872","±4,109",1.7%,±0.1,"19,299","±1,532",2.2%,±0.2,"117,365","±5,721",1.7%,±0.1,"398,261","±11,798",1.4%,±0.1,"36,573","±2,664",1.1%,±0.1,"14,294","±1,362",2.3%,±0.2,"151,987","±5,747",1.8%,±0.1,"130,637","±5,254",1.7%,±0.1,"42,110","±2,985",2.3%,±0.2,"126,113","±4,431",2.2%,±0.1,"9,626","±1,325",1.7%,±0.2,"86,828","±4,147",2.7%,±0.1
Median age (years),39.4,±0.3,(X),(X),35.0,±0.3,(X),(X),38.3,±0.2,(X),(X),38.8,±0.2,(X),(X),37.0,±0.1,(X),(X),37.1,±0.1,(X),(X),41.2,±0.2,(X),(X),41.4,±0.3,(X),(X),34.3,±0.2,(X),(X),42.4,±0.1,(X),(X),37.2,±0.1,(X),(X),39.6,±0.3,(X),(X),36.9,±0.2,(X),(X),38.6,±0.1,(X),(X),38.0,±0.2,(X),(X),38.5,±0.2,(X),(X),37.2,±0.2,(X),(X),39.2,±0.2,(X),(X),37.7,±0.2,(X),(X),45.1,±0.1,(X),(X),39.0,±0.2,(X),(X),39.7,±0.2,(X),(X),39.8,±0.2,(X),(X),38.4,±0.2,(X),(X),38.3,±0.3,(X),(X),38.9,±0.1,(X),(X),40.5,±0.3,(X),(X),36.8,±0.2,(X),(X),38.4,±0.2,(X),(X),43.0,±0.3,(X),(X),40.2,±0.1,(X),(X),38.6,±0.2,(X),(X),39.2,±0.2,(X),(X),39.1,±0.2,(X),(X),35.5,±0.3,(X),(X),39.6,±0.1,(X),(X),37.0,±0.2,(X),(X),39.7,±0.2,(X),(X),40.8,±0.1,(X),(X),40.1,±0.4,(X),(X),39.9,±0.2,(X),(X),37.7,±0.3,(X),(X),39.0,±0.2,(X),(X),35.1,±0.1,(X),(X),31.2,±0.2,(X),(X),42.8,±0.3,(X),(X),38.5,±0.2,(X),(X),37.9,±0.1,(X),(X),42.9,±0.3,(X),(X),39.9,±0.2,(X),(X),38.1,±0.4,(X),(X),43.1,±0.2,(X),(X)
Under 18 years,"1,085,597","±2,862",22.1%,±0.1,"179,749",±386,24.6%,±0.1,"1,639,648","±1,034",22.5%,±0.1,"699,012","±2,808",23.2%,±0.1,"8,891,064","±3,413",22.5%,±0.1,"1,256,320","±1,970",21.8%,±0.1,"727,432","±1,496",20.4%,±0.1,"203,946",±709,20.9%,±0.1,"127,901",±4,18.1%,±0.1,"4,231,955","±3,040",19.7%,±0.1,"2,503,029","±3,987",23.6%,±0.1,"300,187",±460,21.2%,±0.1,"449,355","±1,665",25.1%,±0.1,"2,814,679","±2,397",22.2%,±0.1,"1,567,421","±3,427",23.3%,±0.1,"721,830","±2,587",22.9%,±0.1,"700,301","±2,438",24.0%,±0.1,"1,001,825","±3,100",22.4%,±0.1,"1,084,886","±2,212",23.3%,±0.1,"246,353","±1,170",18.3%,±0.1,"1,332,287","±1,637",22.0%,±0.1,"1,351,777","±1,391",19.6%,±0.1,"2,142,822","±2,340",21.5%,±0.1,"1,302,669","±1,816",23.1%,±0.1,"698,420","±2,060",23.5%,±0.1,"1,372,695","±3,616",22.4%,±0.1,"226,524","±1,539",21.2%,±0.1,"475,096","±1,450",24.6%,±0.1,"690,737","±1,212",22.4%,±0.1,"256,020","±1,330",18.8%,±0.1,"1,938,024",±691,21.8%,±0.1,"473,850","±1,372",22.6%,±0.1,"4,022,096","±2,891",20.7%,±0.1,"2,293,972","±3,341",21.9%,±0.1,"176,706","±2,389",23.2%,±0.3,"2,574,847","±2,785",22.0%,±0.1,"952,229","±1,544",24.1%,±0.1,"862,816","±1,582",20.5%,±0.1,"2,632,325","±2,015",20.6%,±0.1,"203,575",±974,19.2%,±0.1,"1,112,300","±2,412",21.6%,±0.1,"215,269","±1,673",24.3%,±0.2,"1,510,752","±4,152",22.1%,±0.1,"7,396,631","±4,425",25.5%,±0.1,"930,308",±911,29.0%,±0.1,"113,559","±1,129",18.2%,±0.2,"1,857,605","±3,452",21.8%,±0.1,"1,662,965","±2,602",21.8%,±0.1,"358,818","±1,340",20.0%,±0.1,"1,263,412","±2,159",21.7%,±0.1,"134,189","±1,722",23.2%,±0.3,"572,734",*****,17.9%,*****
16 years and over,"3,937,453","±5,567",80.3%,±0.1,"569,699","±1,120",77.9%,±0.2,"5,820,607","±4,871",80.0%,±0.1,"2,401,299","±3,503",79.6%,±0.1,"31,617,786","±11,444",80.0%,±0.1,"4,645,780","±4,327",80.7%,±0.1,"2,926,854","±3,578",82.1%,±0.1,"792,119","±1,947",81.3%,±0.2,"587,819","±1,304",83.3%,±0.2,"17,719,854","±8,509",82.5%,±0.1,"8,394,269","±8,568",79.1%,±0.1,"1,147,569","±1,894",81.1%,±0.1,"1,386,665","±3,018",77.6%,±0.2,"10,184,783","±6,628",80.4%,±0.1,"5,346,452","±5,965",79.4%,±0.1,"2,516,898","±3,434",79.8%,±0.1,"2,292,476","±3,701",78.7%,±0.1,"3,581,569","±3,669",80.2%,±0.1,"3,684,053","±5,584",79.2%,±0.1,"1,128,168","±2,087",83.9%,±0.2,"4,862,424","±4,514",80.4%,±0.1,"5,707,254","±4,141",82.8%,±0.1,"8,095,913","±5,042",81.1%,±0.1,"4,479,456","±3,766",79.4%,±0.1,"2,360,508","±4,269",79.3%,±0.1,"4,918,035","±5,687",80.1%,±0.1,"869,402","±2,312",81.3%,±0.2,"1,509,290","±2,423",78.0%,±0.1,"2,465,233","±3,752",80.0%,±0.1,"1,137,316","±1,928",83.6%,±0.1,"7,168,432","±4,559",80.7%,±0.1,"1,678,187","±3,068",80.0%,±0.1,"15,895,561","±6,654",81.7%,±0.1,"8,457,219","±7,206",80.6%,±0.1,"602,982","±2,714",79.1%,±0.4,"9,407,641","±5,848",80.5%,±0.1,"3,110,626","±3,610",78.6%,±0.1,"3,451,654","±3,757",81.8%,±0.1,"10,474,419","±5,664",81.8%,±0.1,"880,978","±2,150",83.2%,±0.2,"4,158,317","±4,297",80.8%,±0.1,"692,113","±2,208",78.2%,±0.2,"5,487,875","±6,599",80.4%,±0.1,"22,425,612","±11,166",77.3%,±0.1,"2,378,652","±2,790",74.2%,±0.1,"525,153","±1,269",84.2%,±0.2,"6,880,704","±6,309",80.6%,±0.1,"6,128,444","±4,603",80.5%,±0.1,"1,476,688","±2,866",82.4%,±0.2,"4,707,424","±3,512",80.8%,±0.1,"458,477","±2,011",79.2%,±0.3,"2,699,404","±3,210",84.5%,±0.1
