"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"Autauga County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","21,397","6.6%","5.5%","10.4%","7.9%","12.7%","17.8%","13.7%","16.8%","5.4%","3.2%","58,731","75,326","","32.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","15,076","5.0%","3.1%","7.1%","7.4%","11.5%","18.0%","16.4%","20.5%","7.2%","3.9%","71,103","87,094","","(X)","30.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,609","1.9%","1.4%","3.5%","6.6%","9.8%","19.2%","17.9%","25.8%","9.3%","4.6%","86,217","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,321","11.8%","11.7%","18.8%","10.4%","15.3%","15.4%","7.5%","6.4%","1.4%","1.4%","31,080","44,633","","(X)","(X)","32.8%"
"Baldwin County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","80,930","5.0%","4.6%","8.8%","10.4%","13.9%","18.4%","12.8%","14.4%","6.0%","5.7%","58,320","80,986","","35.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","53,467","2.7%","1.8%","5.3%","7.7%","12.6%","19.5%","15.6%","18.7%","8.4%","7.7%","75,850","97,991","","(X)","38.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","42,886","1.3%","0.9%","3.2%","6.4%","10.6%","19.4%","17.8%","21.6%","9.4%","9.3%","86,190","108,759","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","27,463","10.2%","9.9%","16.1%","16.4%","16.0%","16.6%","6.5%","5.4%","1.3%","1.5%","33,296","45,999","","(X)","(X)","29.2%"
"Barbour County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,345","14.9%","8.5%","17.6%","11.7%","14.2%","13.3%","8.2%","8.0%","2.0%","1.6%","32,525","47,068","","40.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,187","10.7%","6.2%","11.4%","14.2%","15.6%","15.2%","11.2%","10.1%","2.9%","2.3%","41,704","56,374","","(X)","43.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
